timestamp,joint_names,actual_q,target_q,actual_TCP_pose,target_TCP_pose,actual_TCP_speed,robot_mode,safety_status
0.0,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.0037,0.037359,0.040072,0.009345,-0.026572,-0.034657]","[0.4207,-0.015,0.16,0.0,3.14159,0.0]","[0.4217,-0.015,0.16,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.04,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.014296,0.042359,0.035523,7.2e-05,-0.0314,-0.029957]","[0.4224,-0.015,0.1585,0.0,3.14159,0.0]","[0.4234,-0.015,0.1585,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.08,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.024277,0.045,0.029039,-0.008931,-0.034001,-0.023122]","[0.4241,-0.015,0.157,0.0,3.14159,0.0]","[0.4251,-0.015,0.157,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.12,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.033066,0.045159,0.021066,-0.017062,-0.034172,-0.014531]","[0.4258,-0.015,0.1555,0.0,3.14159,0.0]","[0.4268,-0.015,0.1555,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.16,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.040159,0.042872,0.012145,-0.023772,-0.031857,-0.004677]","[0.4275,-0.015,0.154,0.0,3.14159,0.0]","[0.4285,-0.015,0.154,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.2,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.045159,0.038323,0.002872,-0.0286,-0.027157,0.005873]","[0.4292,-0.015,0.1525,0.0,3.14159,0.0]","[0.4302,-0.015,0.1525,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.24,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.0478,0.031839,-0.006131,-0.031201,-0.020322,0.016505]","[0.4309,-0.015,0.151,0.0,3.14159,0.0]","[0.4319,-0.015,0.151,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.28,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.047959,0.023866,-0.014262,-0.031372,-0.011731,0.026602]","[0.4326,-0.015,0.1495,0.0,3.14159,0.0]","[0.4336,-0.015,0.1495,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.32,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.045672,0.014945,-0.020972,-0.029057,-0.001877,0.035579]","[0.4343,-0.015,0.148,0.0,3.14159,0.0]","[0.4353,-0.015,0.148,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.36,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.041123,0.005672,-0.0258,-0.024357,0.008673,0.042923]","[0.436,-0.015,0.1465,0.0,3.14159,0.0]","[0.437,-0.015,0.1465,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.4,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.034639,-0.003331,-0.028401,-0.017522,0.019305,0.04822]","[0.4377,-0.015,0.145,0.0,3.14159,0.0]","[0.4387,-0.015,0.145,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
0.44,"[""shoulder_pan_joint"",""shoulder_lift_joint"",""elbow_joint"",""wrist_1_joint"",""wrist_2_joint"",""wrist_3_joint""]",,"[0.026666,-0.011462,-0.028572,-0.008931,0.029402,0.051184]","[0.4394,-0.015,0.1435,0.0,3.14159,0.0]","[0.4404,-0.015,0.1435,0.0,3.14159,0.0]","[0.025,0.0,-0.018,0.0,0.0,0.0]",RUNNING,NORMAL
